"R","RStudio","Project organization","Reproducibility concepts","Git","GitHub","goal_category"
5,5,4,3,1,2,"Project organization"
3,4,2,2,1,1,"Other / general"
3,3,2,4,2,2,"Git & GitHub"
4,4,3,4,4,4,"Project organization"
5,5,4,4,3,3,"Git & GitHub"
3,5,2,3,1,1,"Git & GitHub"
5,5,1,2,1,1,"Git & GitHub"
3,3,2,1,1,1,"Git & GitHub"
3,3,3,2,1,1,"Project organization"
4,5,3,2,2,2,"Git & GitHub"
4,4,3,3,2,2,"Reproducibility & archiving"
5,5,3,3,1,1,"Git & GitHub"
3,3,1,1,2,3,"Project organization"
1,1,1,1,1,1,"Reproducibility & archiving"
2,3,2,1,1,1,"Other / general"
3,3,3,3,2,2,"Git & GitHub"
3,3,2,1,3,3,"Git & GitHub"
4,5,3,3,1,1,"Other / general"
5,5,3,4,2,1,"Git & GitHub"
